,Review #,Brand,Variety,Style,Country,Stars,Top Ten,Style_value,Style_label,Country_value,Country_label,Style_value_jitter,Country_value_jitter,label
0,2579,Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,Taiwan,1,,3.7004581151832467,1.0,3.665401785714286,1,3.841945327634914,3.697278087485793,GOOD
1,2577,Wei Lih,GGE Ramen Snack Tomato Flavor,Pack,Taiwan,2.75,,3.7004581151832467,1.0,3.665401785714286,1,3.6221333907582514,3.767675329513121,GOOD
2,2575,Samyang Foods,Kimchi song Song Ramen,Pack,South Korea,4.75,,3.7004581151832467,1.0,3.7905537459283383,1,3.627783318352238,3.774687971658274,GOOD
3,2572,Ripe'n'Dry,Hokkaido Soy Sauce Ramen,Pack,Japan,0.25,,3.7004581151832467,1.0,3.981605113636364,1,3.819661603044534,3.9965727524071935,GOOD
4,2571,KOKA,The Original Spicy Stir-Fried Noodles,Pack,Singapore,2.5,,3.7004581151832467,1.0,4.126146788990826,1,3.930415301462676,4.020175732088804,GOOD
5,2568,Nongshim,Mr. Bibim Stir-Fried Kimchi Flavor,Pack,South Korea,4.25,,3.7004581151832467,1.0,3.7905537459283383,1,3.954876572677076,3.845163234909568,GOOD
6,2567,Nissin,Deka Buto Kimchi Pork Flavor,Bowl,Japan,4.5,,3.6706860706860707,1.0,3.981605113636364,1,3.541885384453345,3.9513290702078194,GOOD
7,2566,Nissin,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5,,3.7004581151832467,1.0,3.8018248175182485,1,3.5487596755311763,3.7936373631180222,GOOD
8,2561,Paldo,Premium Gomtang,Pack,South Korea,4,,3.7004581151832467,1.0,3.7905537459283383,1,3.7216303187570823,3.7700807780664243,GOOD
9,2555,Samyang Foods,Song Song Kimchi Big Bowl,Bowl,South Korea,4.25,,3.6706860706860707,1.0,3.7905537459283383,1,3.6521562492429362,3.879168689201412,GOOD
10,2553,Nissin,Hakata Ramen Noodle White Tonkotsu,Bowl,Japan,4.75,,3.6706860706860707,1.0,3.981605113636364,1,3.8849200014190206,4.014999903606361,GOOD
11,2552,MyKuali,Penang White Curry Rice Vermicelli Soup,Bowl,Malaysia,5,,3.6706860706860707,1.0,4.154193548387097,1,3.6110387499360064,4.176196576589357,GOOD
12,2551,KOKA,Signature Tom Yum Flavor Instant Noodles,Pack,Singapore,4,,3.7004581151832467,1.0,4.126146788990826,1,3.571563896275578,4.25599060642705,GOOD
13,2550,Samyang Foods,Paegaejang Ramen,Pack,South Korea,5,,3.7004581151832467,1.0,3.7905537459283383,1,3.7361588560453414,3.8292463864876085,GOOD
