,Review #,Brand,Variety,Style,Country,Stars,Top Ten,Style_value,Style_label,Country_value,Country_label
0,2580,New Touch,T's Restaurant Tantanmen ,Cup,Japan,3.75,,3.4984999999999995,0.0,3.981605113636364,1
1,2579,Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,Taiwan,1,,3.7004581151832467,1.0,3.665401785714286,1
2,2578,Nissin,Cup Noodles Chicken Vegetable,Cup,USA,2.25,,3.4984999999999995,0.0,3.457043343653251,0
3,2577,Wei Lih,GGE Ramen Snack Tomato Flavor,Pack,Taiwan,2.75,,3.7004581151832467,1.0,3.665401785714286,1
4,2576,Ching's Secret,Singapore Curry,Pack,India,3.75,,3.7004581151832467,1.0,3.3951612903225805,0
5,2575,Samyang Foods,Kimchi song Song Ramen,Pack,South Korea,4.75,,3.7004581151832467,1.0,3.7905537459283383,1
6,2574,Acecook,Spice Deli Tantan Men With Cilantro,Cup,Japan,4,,3.4984999999999995,0.0,3.981605113636364,1
7,2573,Ikeda Shoku,Nabeyaki Kitsune Udon,Tray,Japan,3.75,,3.545138888888889,0.0,3.981605113636364,1
8,2572,Ripe'n'Dry,Hokkaido Soy Sauce Ramen,Pack,Japan,0.25,,3.7004581151832467,1.0,3.981605113636364,1
9,2571,KOKA,The Original Spicy Stir-Fried Noodles,Pack,Singapore,2.5,,3.7004581151832467,1.0,4.126146788990826,1
10,2570,Tao Kae Noi,Creamy tom Yum Kung Flavour,Pack,Thailand,5,,3.7004581151832467,1.0,3.3848167539267022,0
11,2569,Yamachan,Yokohama Tonkotsu Shoyu,Pack,USA,5,,3.7004581151832467,1.0,3.457043343653251,0
12,2568,Nongshim,Mr. Bibim Stir-Fried Kimchi Flavor,Pack,South Korea,4.25,,3.7004581151832467,1.0,3.7905537459283383,1
13,2567,Nissin,Deka Buto Kimchi Pork Flavor,Bowl,Japan,4.5,,3.6706860706860707,1.0,3.981605113636364,1
14,2566,Nissin,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5,,3.7004581151832467,1.0,3.8018248175182485,1
15,2565,KOKA,Mushroom Flavour Instant Noodles,Cup,Singapore,3.5,,3.4984999999999995,0.0,4.126146788990826,1
16,2564,TRDP,Mario Masala Noodles,Pack,India,3.75,,3.7004581151832467,1.0,3.3951612903225805,0
17,2563,Yamachan,Tokyo Shoyu Ramen,Pack,USA,5,,3.7004581151832467,1.0,3.457043343653251,0
18,2562,Binh Tay,Mi Hai Cua,Pack,Vietnam,4,,3.7004581151832467,1.0,3.187962962962963,0
19,2561,Paldo,Premium Gomtang,Pack,South Korea,4,,3.7004581151832467,1.0,3.7905537459283383,1
20,2560,Nissin,Cup Noodles Laksa Flavour,Cup,Hong Kong,4.25,,3.4984999999999995,0.0,3.8018248175182485,1
21,2559,Jackpot Teriyaki,Beef Ramen,Pack,USA,5,,3.7004581151832467,1.0,3.457043343653251,0
22,2558,KOKA,Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor,Cup,Singapore,5,,3.4984999999999995,0.0,4.126146788990826,1
23,2557,Yamachan,Sapporo Miso Ramen,Pack,USA,4.75,,3.7004581151832467,1.0,3.457043343653251,0
24,2556,Ching's Secret,Hot Garlic Instant Noodles,Pack,India,4.25,,3.7004581151832467,1.0,3.3951612903225805,0
25,2555,Samyang Foods,Song Song Kimchi Big Bowl,Bowl,South Korea,4.25,,3.6706860706860707,1.0,3.7905537459283383,1
26,2554,Yum-Mie,Instant Noodles Beef In Light Soup Flavour,Pack,Ghana,3.5,,3.7004581151832467,1.0,3.5,0
27,2553,Nissin,Hakata Ramen Noodle White Tonkotsu,Bowl,Japan,4.75,,3.6706860706860707,1.0,3.981605113636364,1
28,2552,MyKuali,Penang White Curry Rice Vermicelli Soup,Bowl,Malaysia,5,,3.6706860706860707,1.0,4.154193548387097,1
29,2551,KOKA,Signature Tom Yum Flavor Instant Noodles,Pack,Singapore,4,,3.7004581151832467,1.0,4.126146788990826,1
30,2550,Samyang Foods,Paegaejang Ramen,Pack,South Korea,5,,3.7004581151832467,1.0,3.7905537459283383,1
31,2549,Nissin,Gekikara Ramen Extra Hot Ramen Goreng,Pack,Indonesia,4.5,,3.7004581151832467,1.0,4.067460317460317,1
32,2548,Ottogi,Plain Instant Noodle No Soup Included,Pack,South Korea,Unrated,,3.7004581151832467,1.0,3.7905537459283383,1
33,2547,Sichuan Guangyou,Chongqing Spicy Hot Noodles,Bowl,China,4,,3.6706860706860707,1.0,3.4218934911242602,0
34,2546,New Touch,Sugo-Men Kyoto Backfat Shoyu Ramen,Bowl,Japan,3.75,,3.6706860706860707,1.0,3.981605113636364,1
35,2545,KOKA,Instant Noodles Laksa Singapura Flavour,Pack,Singapore,5,,3.7004581151832467,1.0,4.126146788990826,1
36,2544,Lipton,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,USA,1.5,,4.291666666666667,1.0,3.457043343653251,0
37,2543,KOKA,Curry Flavour Instant Noodles,Cup,Singapore,5,,3.4984999999999995,0.0,4.126146788990826,1
